address,项目ID,lat_分析,lon_分析,分享截图,屋顶检测,问题截图,整体效果,问题截图,问题分类,A截图,B截图,C截图,面板铺设,问题截图,电池墙,问题截图,掩码分割,问题截图,标注区域,备注信息,标注人,备注,,,,,,,,
"63 Lloyd Bird Cres, Springfield Lakes QLD 4300澳大利亚",7707,,,,合理,,可接受,,,,,,,,合理,,合理,,,,,,,,,,,,,
"13 Liberty Cres, Springfield Lakes QLD 4300澳大利亚",7710,,,,合理,,可接受,,,,,,,,合理,,合理,,,,,,,,,,,,,
"20 Apollo Pl, Springfield Lakes QLD 4300澳大利亚",7714,,,,合理,,可接受,,,,,,合理,,合理,,合理,,,,,,,,,,,,,
"16 Ovals Terrace, Springfield Lakes QLD 4300澳大利亚",7720,,,,合理,,可接受,,,,,,合理,,合理,,合理,,,,,,,,,,,,,
"28 The Promenade, Springfield Lakes QLD 4300澳大利亚",7733,,,,合理,,合理,,,,,,合理,,合理,,合理,,,,,,,,,,,,,
"49 Viewpoint Dr, Springfield Lakes QLD 4300澳大利亚",7739,,,,合理,,可接受,,,,,,,,合理,,合理,,,,,,,,,,,,,
"28 Highlands Terrace, Springfield Lakes QLD 4300澳大利亚",7743,,,,合理,,可接受,,,,,,,,合理,,合理,,,,,,,,,,,,,
"70 Landing Circuit, Springfield Lakes QLD 4300澳大利亚",7745,,,,合理,,可接受,,,,,,合理,,合理,,合理,,,,,,,,,,,,,
"39 Landing Circuit, Springfield Lakes QLD 4300澳大利亚",7746,,,,合理,,可接受,,,,,,,,合理,,合理,,,,,,,,,,,,,
"7 Aerial St, Springfield Lakes QLD 4300澳大利亚",7748,-27.6738703,152.9174784,,合理,,有问题,,模型旋转,,,,孤立面板,,合理,,合理,,,,,,,,,,,,,
"43 Parkview Dr, Springfield Lakes QLD 4300澳大利亚",7762,-27.6747761,152.9154566,,合理,,有问题,,模型旋转,,,,,,合理,,合理,,,,,,,,,,,,,
"4 Pinnacle Cl, Springfield Lakes QLD 4300澳大利亚",7772,,,,合理,,可接受,,,,,,,,合理,,合理,,,,,,,,,,,,,
"15 Mirage Ave, Springfield Lakes QLD 4300澳大利亚",7778,,,,合理,,可接受,,,,,,,,合理,,合理,,,,,,,,,,,,,
"26 Elmwood Cct, Springfield Lakes QLD 4300澳大利亚",7803,,,,合理,,可接受,,,,,,,,合理,,合理,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10 Molle St, Hobart TAS 7000澳大利亚",6520,-42.8896392,147.3239025,,合理,,合理,,,,,,合理,,合理,,合理,,,,刘英,,,,,,,,,
"43 Molle St, Hobart TAS 7000澳大利亚",6526,,,,合理,,可接受,,,,,,,,合理,,合理,,,,刘英,,,,,,,,,
"200 Macquarie St, Hobart TAS 7000澳大利亚",6531,,,,合理,,合理,,,,,,合理,,合理,,合理,,,,刘英,,,,,,,,,
"79 Davey St, Hobart TAS 7000澳大利亚",6535,-42.8871144,147.3258268,,合理,,可接受,,,,,,可接受,,合理,,效果差,,,,刘英,,,,,,,,,
"Avon Cottage, 24 Goulburn St, Hobart TAS 7000澳大利亚",6571,,,,合理,,可接受,,,,,,合理,,合理,,合理,,,,刘英,,,,,,,,,
"195 Liverpool St, Hobart TAS 7000澳大利亚",7255,-42.8839801,147.3238952,,合理,,有问题,,差异较大,,,,合理,,可接受,,合理,,,,刘英,,,,,,,,,
"165 Campbell St, Hobart TAS 7000澳大利亚",6587,,,,合理,,可接受,,,,,,合理,,合理,,合理,,,,刘英,,,,,,,,,
"123 Brooker Ave, Glebe TAS 7000澳大利亚",6592,,,,合理,,可接受,,,,,,合理,,合理,,,,,,刘英,,,,,,,,,
"6 Bayley St, Glebe TAS 7000澳大利亚",6601,,,,合理,,合理,,,,,,合理,,合理,,合理,,,,刘英,,,,,,,,,
"12 Aberdeen St, Glebe TAS 7000澳大利亚",6607,-42.8736179,147.3279525,,合理,,有问题,,差异较大,,,,孤立面板,,合理,,合理,,,,刘英,,,,,,,,,
"1 Lillie St, Glebe TAS 7000澳大利亚",6613,-42.8732709,147.3277027,,合理,,合理,,,,,,,,可接受,,合理,,,,刘英,,,,,,,,,
"15 Aberdeen St, Glebe TAS 7000澳大利亚",6617,-42.8729705,147.3274869,,检测错误,,可接受,,,,,,数量很少,,合理,,合理,,,,刘英,一大片识别为一栋房子了，目标的绿色房子没检查到,,,,,,,,
